review_id,date,city,platform,category,brand,delivery_time,order_context,raw_text,star_rating,cart_value_inr,surge_fee_paid
f4b7c8d9-2a1b-4c3d-8e5f-6a7b8c9d0e1f,2025-07-22,Mumbai,Blinkit,Snacking,Maggi,48,Mumbai Monsoon,Bhai 48 mins for Maggi? Paid surge fee also and still waiting in this rain. Total kachra service platform is lagging.,1,210,True
a1b2c3d4-e5f6-4a5b-9c8d-7e6f5d4c3b2a,2025-08-10,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,35,Mumbai Monsoon,Ice cream full melt ho gaya. Mumbai Monsoon is crazy but delivery took 35 mins. Paisa vasool nahi hua.,2,600,False
d9e8f7a6-b5c4-4d3e-2f1a-0b9c8d7e6f5a,2025-03-12,Delhi,BigBasket Now,Snacking,Kurkure,15,IPL Finals,Systumm hang! 15 mins for Kurkure during the final match. Oye hoye swaad aa gaya.,5,320,False
d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f5a,2025-02-05,Mumbai,Zepto,Personal Care,Pepsodent,9,Local Train Delay,Fatafat delivery at the station entrance. Pepsodent reached before my train. Ek number!,5,190,False
a9b8c7d6-e5f4-4a3b-2c1d-0e9f8a7b6c5d,2025-09-14,Delhi,Blinkit,Home Care,Vim,42,Delhi Smog,Challan kat gaya delivery ka! 42 mins and surge fee? Bhai dimag kharab kar diya platform ne.,2,240,True
c2d3e4f5-a6b7-4c8d-9e0f-1a2b3c4d5e6f,2025-08-20,Mumbai,Blinkit,Ice Cream,Magnum,40,Mumbai Monsoon,Total melt scene. Mumbai Monsoon me Magnum shakes ban gaya in 40 mins. Ekdum kachra.,2,480,False
e9f8d7c6-b5a4-4e3d-2c1b-0a9f8e7d6c5b,2025-11-08,Delhi,Zepto,Snacking,Lays,11,House Party Kalesh,Bhai house party saved! Lays reached in 11 mins flat. Systumm set hai ekdum.,5,1200,False
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,2025-12-10,Delhi,Swiggy Instamart,Personal Care,Pepsodent,45,Delhi Smog,Oye kalesh ho gaya delivery me. 45 mins wait after surge fee? Bhai scam hai ye platform.,2,210,True
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,2025-06-02,Mumbai,BigBasket Now,Snacking,Lays,10,Late Night Marine Drive,Fatafat delivery near Marine Drive. Lays was crispy and fresh. Ek number vibe!,5,250,False
e2f3a4b5-c6d7-4e8f-9a0b-1c2d3e4f5a6b,2025-07-11,Mumbai,Zepto,Ice Cream,Magnum,32,Mumbai Monsoon,Magnum is now Magnum milk. 32 mins in Mumbai Monsoon delay. Khali-pili waste.,2,450,False
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,2025-08-29,Delhi,Zepto,Personal Care,Dove,11,Gurgaon Office Lunch,Systumm! Dove reached Gurgaon office before my lunch break ended. Gazab delivery.,5,420,False
f9e8d7c6-b5a4-4f3e-2d1c-0b9a8f7e6d5c,2025-10-12,Mumbai,Blinkit,Home Care,Vim,14,Ganpati Prep,Vim reached fatafat during Ganpati cleaning. Paisa vasool and ek number timing.,5,300,False
a8b9c0d1-e2f3-4a4b-5c6d-7e8f9a0b1c2d,2025-11-24,Delhi,BigBasket Now,Home Care,Surf Excel,55,Late Night Kalesh,Bhai 55 mins for Surf Excel with surge? System hang ho gaya platform ka. Bakwas.,1,550,True
e4f5a6b7-c8d9-4e0f-1a2b-3c4d5e6f7a8b,2025-07-19,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,38,Mumbai Monsoon,Full melt scene in Mumbai Monsoon. Kwality Wall's is liquid now. Khali-pili waste of 38 mins.,2,350,False
a5b6c7d8-e9f0-4a1b-2c3d-4e5f6a7b8c9d,2025-11-14,Delhi,Swiggy Instamart,Snacking,Maggi,12,IPL at Kotla,Oye hoye swaad! Maggi delivered in 12 mins during the match. Gazab speed bhai.,5,180,False
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,2025-07-28,Mumbai,Zepto,Snacking,Kurkure,45,Mumbai Monsoon,Paid surge fee and 45 mins for Kurkure? Public pagal hai kya platform is slow.,2,190,True
a2b3c4d5-e6f7-4a8b-9c0d-1e2f3a4b5c6d,2025-08-19,Mumbai,Swiggy Instamart,Snacking,Lays,55,Mumbai Monsoon,55 mins and surge fee for Lays? Mumbai rains are bad but this is kachra service.,1,250,True
c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,2025-03-11,Delhi,Blinkit,Snacking,Kurkure,10,House Party Kalesh,Bhai 10 mins flat. Kurkure saved the kalesh scene at home. Systumm set!,5,340,False
b1c2d3e4-f5a6-4b7c-8d9e-0f1a2b3c4d5e,2025-07-14,Mumbai,Zepto,Ice Cream,Kwality Wall's,33,Mumbai Monsoon,Kwality Wall's is now water. 33 mins in Mumbai Monsoon is too late. Khali-pili loss.,2,400,False
