review_id,date,city,platform,category,brand,delivery_time,order_context,raw_text,star_rating,cart_value_inr,surge_fee_paid
2d6a5e18-1b5c-4d8e-9f3a-7c2d9e1a0b3c,15/05/2025,Bangalore,Zepto,Ice Cream,Magnum,12,Silk Board Jam,Macha the delivery was sakkath fast despite Silk Board scene. Magnum was still frozen. Bombat service!,5,450,False
f4b7c8d9-2a1b-4c3d-8e5f-6a7b8c9d0e1f,22/07/2025,Mumbai,Blinkit,Snacking,Maggi,48,Mumbai Monsoon,Bhai 48 mins for Maggi? Paid surge fee also and still waiting in this rain. Total kachra service platform is lagging.,1,210,True
a1b2c3d4-e5f6-4a5b-9c8d-7e6f5d4c3b2a,10/08/2025,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,35,Mumbai Monsoon,Ice cream full melt ho gaya. Mumbai Monsoon is crazy but delivery took 35 mins. Paisa vasool nahi hua.,2,600,False
d9e8f7a6-b5c4-4d3e-2f1a-0b9c8d7e6f5a,12/03/2025,Delhi,BigBasket Now,Snacking,Kurkure,15,IPL Finals,Systumm hang! 15 mins for Kurkure during the final match. Oye hoye swaad aa gaya.,5,320,False
c7d8e9f0-a1b2-4c3d-8e5f-6a7b8c9d0e1f,04/11/2025,Pune,Zepto,Personal Care,Dove,55,Viman Nagar Student Party,Paid surge fee and waited 55 mins for a Dove soap? Kantaala aa gaya system is so slow.,2,180,True
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,18/01/2025,Hyderabad,Blinkit,Home Care,Surf Excel,10,Gachibowli Power Cut,Hau delivery was kirak! Needed Surf Excel urgently because of power cut laundry pile. Zabardast speed.,5,550,False
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,25/06/2025,Bangalore,Swiggy Instamart,Snacking,Lays,60,Peak HSR Hour,Simply waste guru. 60 mins delivery and surge fee paid? Tech-park traffic is no excuse for this delay.,1,150,True
d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f5a,05/02/2025,Mumbai,Zepto,Personal Care,Pepsodent,9,Local Train Delay,Fatafat delivery at the station entrance. Pepsodent reached before my train. Ek number!,5,190,False
a9b8c7d6-e5f4-4a3b-2c1d-0e9f8a7b6c5d,14/09/2025,Delhi,Blinkit,Home Care,Vim,42,Delhi Smog,Challan kat gaya delivery ka! 42 mins and surge fee? Bhai dimag kharab kar diya platform ne.,2,240,True
b5c6d7e8-f9a0-4b1c-2d3e-4f5a6b7c8d9e,12/04/2025,Hyderabad,Swiggy Instamart,Snacking,Maggi,14,Late Night Biryani Supplement,Kya mazaak hai 14 mins only? Kirak service for my midnight Maggi cravings. Baigan speed!,5,280,False
