review_id,date,city,platform,category,brand,delivery_time,order_context,raw_text,star_rating,cart_value_inr,surge_fee_paid,x,y,z,cluster
2d6a5e18-1b5c-4d8e-9f3a-7c2d9e1a0b3c,15/05/2025,Bangalore,Zepto,Ice Cream,Magnum,12,Silk Board Jam,Macha the delivery was sakkath fast despite Silk Board scene. Magnum was still frozen. Bombat service!,5,450,False,-0.56496596,-13.152676,13.564499,0
f4b7c8d9-2a1b-4c3d-8e5f-6a7b8c9d0e1f,22/07/2025,Mumbai,Blinkit,Snacking,Maggi,48,Mumbai Monsoon,Bhai 48 mins for Maggi? Paid surge fee also and still waiting in this rain. Total kachra service platform is lagging.,1,210,True,-0.5785805,-13.0722065,13.497007,0
a1b2c3d4-e5f6-4a5b-9c8d-7e6f5d4c3b2a,10/08/2025,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,35,Mumbai Monsoon,Ice cream full melt ho gaya. Mumbai Monsoon is crazy but delivery took 35 mins. Paisa vasool nahi hua.,2,600,False,-0.5952533,-13.244547,13.453674,0
d9e8f7a6-b5c4-4d3e-2f1a-0b9c8d7e6f5a,12/03/2025,Delhi,BigBasket Now,Snacking,Kurkure,15,IPL Finals,Systumm hang! 15 mins for Kurkure during the final match. Oye hoye swaad aa gaya.,5,320,False,-0.5975908,-13.018773,13.581295,0
c7d8e9f0-a1b2-4c3d-8e5f-6a7b8c9d0e1f,04/11/2025,Pune,Zepto,Personal Care,Dove,55,Viman Nagar Student Party,Paid surge fee and waited 55 mins for a Dove soap? Kantaala aa gaya system is so slow.,2,180,True,-0.59329784,-13.016088,13.425876,0
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,18/01/2025,Hyderabad,Blinkit,Home Care,Surf Excel,10,Gachibowli Power Cut,Hau delivery was kirak! Needed Surf Excel urgently because of power cut laundry pile. Zabardast speed.,5,550,False,-0.5340566,-13.116152,13.636015,0
e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,25/06/2025,Bangalore,Swiggy Instamart,Snacking,Lays,60,Peak HSR Hour,Simply waste guru. 60 mins delivery and surge fee paid? Tech-park traffic is no excuse for this delay.,1,150,True,0.84087104,-12.433081,10.24026,1
d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f5a,05/02/2025,Mumbai,Zepto,Personal Care,Pepsodent,9,Local Train Delay,Fatafat delivery at the station entrance. Pepsodent reached before my train. Ek number!,5,190,False,-0.012102918,-13.610783,12.879665,0
a9b8c7d6-e5f4-4a3b-2c1d-0e9f8a7b6c5d,14/09/2025,Delhi,Blinkit,Home Care,Vim,42,Delhi Smog,Challan kat gaya delivery ka! 42 mins and surge fee? Bhai dimag kharab kar diya platform ne.,2,240,True,1.2818254,-13.838282,11.031554,2
f1e2d3c4-b5a6-4f7e-8d9c-0b1a2c3d4e5f,30/10/2025,Pune,Ice Cream,Kwality Wall's,15,Ganpati Visarjan,Bhaari delivery speed in all this crowd. Kwality Wall's was perfectly cold. Vishesh experience!,5,800,False,,-0.4925533,-12.754361,13.533981,0
b5c6d7e8-f9a0-4b1c-2d3e-4f5a6b7c8d9e,12/04/2025,Hyderabad,Swiggy Instamart,Snacking,Maggi,14,Late Night Biryani Supplement,Kya mazaak hai 14 mins only? Kirak service for my midnight Maggi cravings. Baigan speed!,5,280,False,-0.6124798,-13.0510235,13.510606,0
c2d3e4f5-a6b7-4c8d-9e0f-1a2b3c4d5e6f,20/08/2025,Mumbai,Blinkit,Ice Cream,Magnum,40,Mumbai Monsoon,Total melt scene. Mumbai Monsoon me Magnum shakes ban gaya in 40 mins. Ekdum kachra.,2,480,False,-0.47076517,-13.060259,13.499988,0
e9f8d7c6-b5a4-4e3d-2c1b-0a9f8e7d6c5b,08/11/2025,Delhi,Zepto,Snacking,Lays,11,House Party Kalesh,Bhai house party saved! Lays reached in 11 mins flat. Systumm set hai ekdum.,5,1200,False,-0.20876671,-13.213324,13.320992,0
a4b5c6d7-e8f9-4a0b-1c2d-3e4f5a6b7c8d,19/02/2025,Bangalore,BigBasket Now,Home Care,Surf Excel,65,Silk Board Jam,Adjust maadi? 65 mins for Surf Excel is too much guru. Surge fee wasting only.,1,450,True,-0.59027547,-13.092144,13.49451,0
d7c8b9a0-f1e2-4d3c-4b5a-6f7e8d9c0b1a,28/05/2025,Pune,Snacking,Kurkure,10,FC Road Shopping Break,Naad khula delivery! 10 mins and Kurkure in hand while waiting for bus. Solid work.,5,150,False,,-0.6100796,-12.753654,13.438291,0
f6e5d4c3-b2a1-4f0e-9d8c-7b6a5e4d3c2b,03/07/2025,Hyderabad,Zepto,Personal Care,Dove,50,IT Raid Scenario,Baigan service. Surge fee taken and 50 mins wait for Dove? Poti panna timing is this.,1,350,True,-0.54938805,-12.898019,13.32265,0
b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,14/03/2025,Bangalore,Blinkit,Ice Cream,Kwality Wall's,13,Pre-Standup Breakfast,Sakkath fast delivery before my 9AM standup. Kwality Wall's reached Indiranagar in 13 mins.,5,550,False,-0.55869496,-13.132142,13.446674,0
d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,10/12/2025,Delhi,Swiggy Instamart,Personal Care,Pepsodent,45,Delhi Smog,Oye kalesh ho gaya delivery me. 45 mins wait after surge fee? Bhai scam hai ye platform.,2,210,True,-0.5179764,-13.032204,13.482999,0
c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,02/06/2025,Mumbai,BigBasket Now,Snacking,Lays,10,Late Night Marine Drive,Fatafat delivery near Marine Drive. Lays was crispy and fresh. Ek number vibe!,5,250,False,-0.5903104,-13.00805,13.428287,0
a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,21/04/2025,Pune,Home Care,Vim,12,Hinjewadi Commute,Vishesh speed in Hinjewadi traffic. Vim reached office PG in 12 mins. Bhaari!,5,180,False,,-0.48319978,-13.2059355,13.690348,0
e2f3a4b5-c6d7-4e8f-9a0b-1c2d3e4f5a6b,11/07/2025,Mumbai,Zepto,Ice Cream,Magnum,32,Mumbai Monsoon,Magnum is now Magnum milk. 32 mins in Mumbai Monsoon delay. Khali-pili waste.,2,450,False,-0.12506391,-13.308819,12.688439,0
b9c0d1e2-f3a4-4b5c-6d7e-8f9a0b1c2d3e,15/09/2025,Hyderabad,Blinkit,Snacking,Maggi,10,Biryani Side-hustle,Kirak fast! Needed Maggi for a quick snack while cooking Biryani. Hau delivery!,5,160,False,-0.58256054,-12.984893,13.496748,0
d6e7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,05/11/2025,Bangalore,Swiggy Instamart,Home Care,Surf Excel,48,HSR Layout Rush,Macha 48 mins wait and surge fee extra? HSR traffic is bad but platform is worse.,2,600,True,-0.38850105,-13.426264,13.306391,0
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,29/08/2025,Delhi,Zepto,Personal Care,Dove,11,Gurgaon Office Lunch,Systumm! Dove reached Gurgaon office before my lunch break ended. Gazab delivery.,5,420,False,-0.4297214,-13.071752,13.485211,0
c4d5e6f7-a8b9-4c0d-1e2f-3a4b5c6d7e8f,17/01/2025,Pune,Snacking,Kurkure,70,Peth Rush,Solid delay of 70 mins and charged surge also. Kantaala aa gaya Blinkit pe.,1,200,True,,-0.78807074,-12.838404,13.3741255,0
f9e8d7c6-b5a4-4f3e-2d1c-0b9a8f7e6d5c,12/10/2025,Mumbai,Blinkit,Home Care,Vim,14,Ganpati Prep,Vim reached fatafat during Ganpati cleaning. Paisa vasool and ek number timing.,5,300,False,-0.4936734,-13.002827,13.344145,0
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,08/05/2025,Hyderabad,Swiggy Instamart,Ice Cream,Magnum,12,Summer Heat,Zabardast cooling! Magnum reached perfectly in 12 mins. Hyderabad heat is no match.,5,950,False,-0.6280286,-12.867538,13.391425,0
d5e6f7a8-b9c0-4d1e-2f3a-4b5c6d7e8f9a,16/06/2025,Bangalore,Zepto,Snacking,Maggi,10,Indiranagar Party,Maggi reached in 10 mins flat. Sakkath delivery for our Indiranagar house party!,5,220,False,-0.261621,-13.198723,13.362525,0
a8b9c0d1-e2f3-4a4b-5c6d-7e8f9a0b1c2d,24/11/2025,Delhi,BigBasket Now,Home Care,Surf Excel,55,Late Night Kalesh,Bhai 55 mins for Surf Excel with surge? System hang ho gaya platform ka. Bakwas.,1,550,True,2.405726,-7.427044,8.154139,3
c1d2e3f4-a5b6-4c7d-8e9f-0a1b2c3d4e5f,02/09/2025,Pune,Personal Care,Pepsodent,13,Viman Nagar Student Party,Naad khula speed. Pepsodent reached Viman Nagar PG in 13 mins. Bhaari!,5,160,False,,-0.5057502,-12.930736,13.686166,0
e4f5a6b7-c8d9-4e0f-1a2b-3c4d5e6f7a8b,19/07/2025,Mumbai,Swiggy Instamart,Ice Cream,Kwality Wall's,38,Mumbai Monsoon,Full melt scene in Mumbai Monsoon. Kwality Wall's is liquid now. Khali-pili waste of 38 mins.,2,350,False,-0.2158315,-13.204565,12.835416,0
b7c8d9e0-f1a2-4b3c-4d5e-6f7a8b9c0d1e,10/01/2025,Hyderabad,Zepto,Snacking,Lays,9,Charminar Visit Prep,Hau 9 mins only! Lays reached before we left for Charminar. Kirak service.,5,200,False,1.1851444,-12.782078,10.147432,1
