event_year,country,source,raw_text
2020,Australia,DFAT Official Statement,Australian government formally calls for an independent international inquiry into the origins of COVID-19 in Wuhan.
2020,Australia,Global Times (Beijing),Editorial labels Australia as a 'giant kangaroo that serves as the running dog of the United States'.
2020,Australia,Ministry of Commerce (PRC),China imposes 80.5% anti-dumping and anti-subsidy tariffs on Australian barley imports.
2020,Australia,Australian Financial Review,Export data reveals 53 Australian coal ships stuck in anchorages off Chinese ports due to import clearance delays.
2020,Australia,Twitter/X,Chinese Foreign Ministry spokesperson Lijian Zhao posts a doctored image of an Australian soldier threatening an Afghan child.
2020,Australia,ABC News,"Australian lobster shipments perish on the tarmac at Chinese airports due to sudden, unexplained customs inspections."
2020,Australia,"Department of Agriculture, Water and the Environment",China halts imports of Australian timber from Queensland and Victoria citing alleged pest infestations.
2020,Australia,Reuters,"China imposes temporary anti-dumping duties of up to 212% on Australian wine, effectively shutting down the market."
2020,Australia,The Sydney Morning Herald,Australian trade officials confirm urgent push for 'Market Diversification' strategy to offset reliance on China.
2020,Australia,Business Council of Australia,Council urges exporters to pivot towards India and Southeast Asia to mitigate ongoing trade volatility.
2020,Australia,Prime Minister's Office,Scott Morrison reiterates that Australia will not compromise on national sovereignty despite economic pressure.
2020,Australia,Australian Meat Industry Council,Multiple Australian beef processing plants suspended from exporting to China over labeling and health certificate technicalities.
2020,Australia,Bloomberg,"Iron ore prices surge as China remains heavily dependent on Australian supply, creating a bottleneck in sanctions strategy."
2020,Australia,DFAT Trade Report,Australia signs enhanced security and trade intelligence sharing agreements with Japan and India to strengthen supply chain resilience.
2020,Australia,The Guardian Australia,Coal producers shift focus to the Indian market as Chinese buyers move to restrict Australian carbon fuel imports.
2020,Australia,Twitter/X,Australian wine industry influencers launch '#KeepTheWine' campaign to encourage domestic consumption and new export partnerships.
2020,Australia,Austrade,Government announces $72.7 million grant package to help exporters find new international markets amid trade blockades.
2020,Australia,Public Opinion Poll (Lowy Institute),"Australian public trust in China hits an all-time low, coinciding with geopolitical tensions and trade disputes."
2020,Australia,Mining Weekly,Copper and lithium supply chains identified as critical nodes for Australia's new 'China Plus One' export diversification model.
2020,Australia,Journal of Commerce,Australia formally files a dispute with the WTO regarding China’s trade practices against Australian barley producers.
2025,India,Ministry of Commerce Press Release,New Delhi announces immediate diversification of steel export destinations as U.S. imposes 50% reciprocal tariffs on Indian-origin metallic goods.
2025,India,Twitter/X Trend #AtmanirbharSteel,Indian steel manufacturers gain massive domestic support; trade unions call for retaliation against U.S. agricultural imports to defend sovereign autonomy.
2025,India,Economic Times Financial Daily,"India-EU Trade and Technology Council fast-tracks FTA negotiations, signaling a strategic pivot to reduce dependency on volatile North American markets."
2025,India,Reuters (Delhi Bureau),"External Affairs Ministry confirms India will continue importing discounted Russian oil, citing 'energy security as a non-negotiable component of national sovereignty'."
2025,India,LinkedIn Professional Update,Supply chain analysts report a 14% increase in India-Germany manufacturing partnerships following the recent U.S. steel tariff escalation.
2025,India,The Hindu (Editorial),Is India-U.S. strategic partnership reaching a breaking point? The 50% tariff reality check forces New Delhi to reconsider the efficacy of G7 alliances.
2025,India,Ministry of Petroleum and Natural Gas,"India settles 40% of Russian crude imports in local currencies, effectively bypassing Western financial infrastructure amidst rising geopolitical friction."
2025,India,Reddit r/GeopoliticsIndia,Discussion thread: Why the EU is suddenly more eager to finalize the India FTA—hint: the U.S. isolationist trade policy is driving Delhi into Brussels' arms.
2025,India,Bloomberg Terminal Alert,"India’s Commerce Minister rejects 'trade coercion,' states that reciprocal tariffs will not deter India from its path of multi-aligned foreign policy."
2025,India,Times of India,Steel exporters lobby for a 20% subsidy on logistics to Europe as they pivot away from the locked-out U.S. market.
2025,India,Public Broadcast (DD News),"PM underscores India’s 'strategic autonomy' at the Global South summit, referencing the resilience of Indian industry against external tariff shocks."
2025,India,Telegram Financial Intel Group,"Leaks suggest Indian customs are preparing retaliatory duties on high-end U.S. electronics, awaiting final signature from the Prime Minister's Office."
2025,India,Financial Express,"EU Commission President visits New Delhi; emphasis placed on creating a 'resilient, tariff-free corridor' for critical minerals and steel."
2025,India,Business Standard,"Energy data shows Indian refineries operating at peak capacity processing Russian Urals, defying U.S. warnings regarding G7 price cap compliance."
2025,India,Twitter/X (Viral Video),"Footage shows long queues of cargo trucks at Mundra Port, loading Indian steel bound for France and Italy instead of the sanctioned U.S. Eastern Seaboard."
2025,India,Observer Research Foundation (ORF) Analysis,The 50% tariff marks the end of the 'honeymoon period' in India-U.S. trade; India's pivot to the EU is now a formal long-term state policy.
2025,India,Ministry of Foreign Affairs Memo,"Internal document suggests India will refuse to align its energy policies with Washington's anti-Russia stance, citing its status as a civilizational state, not a proxy."
2025,India,Economic Times,Automotive giants in India pivot to European steel supplies to avoid the 'cost-inflation' caused by U.S. reciprocal tariff retaliations.
2025,India,Instagram Story (Influencer/Geopolitical Commentator),India is successfully playing both sides: buying cheap Russian oil while selling premium steel to the EU. A masterclass in modern non-alignment.
2025,India,Press Trust of India (PTI),"India and EU declare a 'Breakthrough Agreement' on market access, effectively neutralizing the impact of U.S. protectionism on India's export growth."
13/03/2026,Global,Port strikes in Gujarat are likely to disrupt raw material supply for the Home Care division.,Medium,Supply Chain,Pending_Review
